file	variant	row	column	pose
miner_v01_worn_pick_idle.png	v01_worn_pick	0	0	idle
miner_v01_worn_pick_step.png	v01_worn_pick	0	1	step
miner_v01_worn_pick_prepare.png	v01_worn_pick	0	2	prepare
miner_v01_worn_pick_contact.png	v01_worn_pick	0	3	contact
miner_v01_worn_pick_recoil.png	v01_worn_pick	0	4	recoil
miner_v02_iron_pick_idle.png	v02_iron_pick	1	0	idle
miner_v02_iron_pick_step.png	v02_iron_pick	1	1	step
miner_v02_iron_pick_prepare.png	v02_iron_pick	1	2	prepare
miner_v02_iron_pick_contact.png	v02_iron_pick	1	3	contact
miner_v02_iron_pick_recoil.png	v02_iron_pick	1	4	recoil
miner_v03_steel_pick_idle.png	v03_steel_pick	2	0	idle
miner_v03_steel_pick_step.png	v03_steel_pick	2	1	step
miner_v03_steel_pick_prepare.png	v03_steel_pick	2	2	prepare
miner_v03_steel_pick_contact.png	v03_steel_pick	2	3	contact
miner_v03_steel_pick_recoil.png	v03_steel_pick	2	4	recoil
miner_v04_pneumatic_pick_idle.png	v04_pneumatic_pick	3	0	idle
miner_v04_pneumatic_pick_step.png	v04_pneumatic_pick	3	1	step
miner_v04_pneumatic_pick_prepare.png	v04_pneumatic_pick	3	2	prepare
miner_v04_pneumatic_pick_contact.png	v04_pneumatic_pick	3	3	contact
miner_v04_pneumatic_pick_recoil.png	v04_pneumatic_pick	3	4	recoil
miner_v05_super_pick_idle.png	v05_super_pick	4	0	idle
miner_v05_super_pick_step.png	v05_super_pick	4	1	step
miner_v05_super_pick_prepare.png	v05_super_pick	4	2	prepare
miner_v05_super_pick_contact.png	v05_super_pick	4	3	contact
miner_v05_super_pick_recoil.png	v05_super_pick	4	4	recoil
miner_v06_mining_laser_idle.png	v06_mining_laser	5	0	idle
miner_v06_mining_laser_step.png	v06_mining_laser	5	1	step
miner_v06_mining_laser_aim.png	v06_mining_laser	5	2	aim
miner_v06_mining_laser_fire.png	v06_mining_laser	5	3	fire
miner_v06_mining_laser_recoil.png	v06_mining_laser	5	4	recoil
miner_v07_solar_drill_idle.png	v07_solar_drill	6	0	idle
miner_v07_solar_drill_step.png	v07_solar_drill	6	1	step
miner_v07_solar_drill_aim.png	v07_solar_drill	6	2	aim
miner_v07_solar_drill_fire.png	v07_solar_drill	6	3	fire
miner_v07_solar_drill_recoil.png	v07_solar_drill	6	4	recoil
